business_id,business_name,business_address,business_address2,business_city,business_state,business_postal_code,business_zip4,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_year,inspection_month,inspection_day,inspection_mmddyyyy,inspection_score,inspection_result,inspection_description,inspection_type,violation_id,violation_description,violation_description2,violation_description3,violation_code,violation_critical
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,35,20131210,2013,12,10,12/10/2013,100,,,Routine,1354,"Standard Not Met: PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",Standard Not Met," PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",53,0
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,36,20141222,2014,12,22,12/22/2014,100,,,Routine,1355,Standard Not Met: PROPER COLD HOLDING TEMPERATURES (Repeat Violation),Standard Not Met, PROPER COLD HOLDING TEMPERATURES (Repeat Violation),20,0
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,37,20141222,2014,12,22,12/22/2014,100,,,Routine,1356,"Standard Not Met: PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN (Repeat Violation)",Standard Not Met," PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN (Repeat Violation)",53,0
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,38,20141222,2014,12,22,12/22/2014,100,,,Routine,1357,Standard Not Met: PROPER HOT HOLDING TEMPERATURES,Standard Not Met, PROPER HOT HOLDING TEMPERATURES,19,0
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,39,20141222,2014,12,22,12/22/2014,100,,,Routine,1358,Standard Not Met: PROPER DATE MARKING AND DISPOSITION,Standard Not Met, PROPER DATE MARKING AND DISPOSITION,21,0
PR0000014,CARRS #1802 - DELI,1340 GAMBELL ST ,1340 GAMBELL ST ,ANCHORAGE,AK,99501,,61.20899891,-149.8710869,"{'type': 'Point','coordinates': [-149.8710869,61.20899891]}",,40,20151125,2015,11,25,11/25/2015,100,,,Routine,2,NULL,NULL,,NULL,NULL
PR0000015,GRANNY B'S CAFE,1201 W TUDOR RD ,1201 W TUDOR RD ,ANCHORAGE,AK,99503,,61.18076651,-149.9058602,"{'type': 'Point','coordinates': [-149.9058602,61.18076651]}",,44,20140619,2014,6,19,6/19/2014,100,,,Routine,1362,Standard Not Met: BARE HAND CONTACT WITH READY TO EAT FOOD,Standard Not Met, BARE HAND CONTACT WITH READY TO EAT FOOD,7,0
PR0000015,GRANNY B'S CAFE,1201 W TUDOR RD ,1201 W TUDOR RD ,ANCHORAGE,AK,99503,,61.18076651,-149.9058602,"{'type': 'Point','coordinates': [-149.9058602,61.18076651]}",,45,20140619,2014,6,19,6/19/2014,100,,,Routine,1363,Standard Not Met: GLOVES USED PROPERLY,Standard Not Met, GLOVES USED PROPERLY,44,0
PR0000015,GRANNY B'S CAFE,1201 W TUDOR RD ,1201 W TUDOR RD ,ANCHORAGE,AK,99503,,61.18076651,-149.9058602,"{'type': 'Point','coordinates': [-149.9058602,61.18076651]}",,41,20141212,2014,12,12,12/12/2014,100,,,Routine,1359,Standard Not Met: NONFOOD-CONTACT SURFACES CLEAN,Standard Not Met, NONFOOD-CONTACT SURFACES CLEAN,47,0
PR0000015,GRANNY B'S CAFE,1201 W TUDOR RD ,1201 W TUDOR RD ,ANCHORAGE,AK,99503,,61.18076651,-149.9058602,"{'type': 'Point','coordinates': [-149.9058602,61.18076651]}",,42,20151202,2015,12,2,12/2/2015,97,,,Routine,1360,"Standard Not Met: EATING, DRINKING, TOBACCO USE",Standard Not Met," EATING, DRINKING, TOBACCO USE",4,0
PR0000015,GRANNY B'S CAFE,1201 W TUDOR RD ,1201 W TUDOR RD ,ANCHORAGE,AK,99503,,61.18076651,-149.9058602,"{'type': 'Point','coordinates': [-149.9058602,61.18076651]}",,43,20151202,2015,12,2,12/2/2015,97,,,Routine,1361,Standard Not Met: NONFOOD-CONTACT SURFACES CLEAN,Standard Not Met, NONFOOD-CONTACT SURFACES CLEAN,47,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,46,20140618,2014,6,18,6/18/2014,100,,,Routine,1364,"Standard Not Met: PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",Standard Not Met," PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",53,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,47,20140618,2014,6,18,6/18/2014,100,,,Routine,1365,Standard Not Met: FOOD CONTACT SURFACES CLEAN AND SANITIZED,Standard Not Met, FOOD CONTACT SURFACES CLEAN AND SANITIZED,14,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,48,20140618,2014,6,18,6/18/2014,100,,,Routine,1366,"Standard Not Met: SURFACES CLEANABLE, DESIGN, CONSTRUCTED, USED",Standard Not Met," SURFACES CLEANABLE, DESIGN, CONSTRUCTED, USED",45,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,49,20140618,2014,6,18,6/18/2014,100,,,Routine,1367,Standard Not Met: PROPER DATE MARKING AND DISPOSITION (Repeat Violation),Standard Not Met, PROPER DATE MARKING AND DISPOSITION (Repeat Violation),21,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,50,20140618,2014,6,18,6/18/2014,100,,,Routine,1368,Standard Not Met: PROPER COLD HOLDING TEMPERATURES,Standard Not Met, PROPER COLD HOLDING TEMPERATURES,20,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,51,20140618,2014,6,18,6/18/2014,100,,,Routine,1369,Standard Not Met: NONFOOD-CONTACT SURFACES CLEAN,Standard Not Met, NONFOOD-CONTACT SURFACES CLEAN,47,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,52,20140618,2014,6,18,6/18/2014,100,,,Routine,1370,"Standard Not Met: TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED (Repeat Violation)",Standard Not Met," TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED (Repeat Violation)",26,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,53,20140618,2014,6,18,6/18/2014,100,,,Routine,1371,"Standard Not Met: ADEQUATE VENTILATION, LIGHTING, DESIGNATED AREAS (Repeat Violation)",Standard Not Met," ADEQUATE VENTILATION, LIGHTING, DESIGNATED AREAS (Repeat Violation)",54,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,54,20140618,2014,6,18,6/18/2014,100,,,Routine,1372,Standard Not Met: FOOD PROTECTED FROM CONTAMINATION,Standard Not Met, FOOD PROTECTED FROM CONTAMINATION,37,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,55,20140618,2014,6,18,6/18/2014,100,,,Routine,1373,Standard Not Met: WIPING CLOTHS PROPERLY USED AND STORED,Standard Not Met, WIPING CLOTHS PROPERLY USED AND STORED,39,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,56,20140729,2014,7,29,7/29/2014,100,,,Routine,1374,"Standard Not Met: ADEQUATE VENTILATION, LIGHTING, DESIGNATED AREAS (Repeat Violation)",Standard Not Met," ADEQUATE VENTILATION, LIGHTING, DESIGNATED AREAS (Repeat Violation)",54,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,57,20140729,2014,7,29,7/29/2014,100,,,Routine,1375,Standard Not Met: NONFOOD-CONTACT SURFACES CLEAN (Repeat Violation),Standard Not Met, NONFOOD-CONTACT SURFACES CLEAN (Repeat Violation),47,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,58,20140729,2014,7,29,7/29/2014,100,,,Routine,1376,"Standard Not Met: TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED (Repeat Violation)",Standard Not Met," TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED (Repeat Violation)",26,0
PR0000016,HAMBURGER HAVEN,718 MULDOON RD ,718 MULDOON RD ,ANCHORAGE,AK,99504,,61.21571814,-149.7335461,"{'type': 'Point','coordinates': [-149.7335461,61.21571814]}",,59,20140729,2014,7,29,7/29/2014,100,,,Routine,1377,"Standard Not Met: PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",Standard Not Met," PHYSICAL FACILITIES INSTALLED, MAINTAINED, CLEAN",53,0
